[473732.241] Initializing Lua 5.1.4
[473795.927] Lobby: Sorting ServerName
[473795.927] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.929] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.932] Lobby: Sorting ServerName
[473795.934] Lobby: Sorting ServerName
[473795.934] Lobby: Sorting ServerName
[473795.934] Lobby: Sorting ServerName
[473795.934] Lobby: Sorting ServerName
[473795.934] Lobby: Sorting ServerName
[473795.934] Lobby: Sorting ServerName
[473795.934] Lobby: Sorting ServerName
[473795.934] Lobby: Sorting ServerName
[473795.934] Lobby: Sorting ServerName
[473795.934] Lobby: Sorting ServerName
[473795.934] Lobby: Sorting ServerName
[473795.934] Lobby: Sorting ServerName
[473795.934] Lobby: Sorting ServerName
[473795.934] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.935] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.937] Lobby: Sorting ServerName
[473795.938] Lobby: Sorting ServerName
[473795.938] Lobby: Sorting ServerName
[473795.938] Lobby: Sorting ServerName
[473795.938] Lobby: Sorting ServerName
[473795.938] Lobby: Sorting ServerName
[473795.938] Lobby: Sorting ServerName
[473795.938] Lobby: Sorting ServerName
[473795.938] Lobby: Sorting ServerName
[473795.938] Lobby: Sorting ServerName
[473795.938] Lobby: Sorting ServerName
[473795.938] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.940] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.943] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.946] Lobby: Sorting ServerName
[473795.948] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.949] Lobby: Sorting ServerName
[473795.951] Lobby: Sorting ServerName
[473795.951] Lobby: Sorting ServerName
[473795.951] Lobby: Sorting ServerName
[473795.951] Lobby: Sorting ServerName
[473795.951] Lobby: Sorting ServerName
[473795.951] Lobby: Sorting ServerName
[473795.951] Lobby: Sorting ServerName
[473795.951] Lobby: Sorting ServerName
[473795.951] Lobby: Sorting ServerName
[473795.951] Lobby: Sorting ServerName
[473795.951] Lobby: Sorting ServerName
[473795.951] Lobby: Sorting ServerName
[473795.951] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.952] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[473795.955] Lobby: Sorting ServerName
[474516.793] Map Script: Generating Map
[474516.793] Map Script: Generating Plot Types (Lua Continents) ...
[474516.809] Map Script: Setting Plot Types (MapGenerator.Lua)
[474516.901] Map Script: Setting coasts and oceans (MapGenerator.Lua)
[474516.909] Map Script: Expanding coasts (MapGenerator.Lua)
[474516.918] Map Script: Generating Terrain (Lua Continents) ...
[474516.932] Map Script: Setting Terrain Types (MapGenerator.Lua)
[474516.960] Map Script: Map Generation - Adding Rivers
[474516.989] Map Script: Map Generation - Adding Lakes
[474516.993] Map Script: 5 lakes added
[474516.993] Map Script: Adding Features (Lua Continents) ...
[474517.097] Map Script: Creating start plot database.
[474517.125] Map Script: Dividing the map in to Regions.
[474517.125] Map Script: Map Generation - Dividing the map in to Regions
[474517.127] Map Script: -
[474517.127] Map Script: Civs:	6
[474517.127] Map Script: City States:	16
[474517.136] Map Script: * * * * * * * * * *
[474517.136] Map Script: Area ID 581667 has fertility of 110
